book_id,title,genre
25,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",fantasy|favourites|fiction|harry-potter|young-adult
26,"The Da Vinci Code (Robert Langdon, #2)",dan-brown|fiction|historical-fiction|suspense|thriller
27,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",fantasy|fiction|harry-potter|series|young-adult
28,Lord of the Flies,classic|fiction|literature|school|young-adult
29,Romeo and Juliet,classic|fiction|plays|romance|shakespeare
30,Gone Girl,contemporary|crime|fiction|kindle|mystery
31,The Help,adult|adult-fiction|fiction|historical|historical-fiction
32,Of Mice and Men,classic|fiction|historical-fiction|literature|school
33,Memoirs of a Geisha,fiction|historical|historical-fiction|japan|romance
34,"Fifty Shades of Grey (Fifty Shades, #1)",abandoned|fiction|fifty-shades|my-books|romance
35,The Alchemist,fantasy|fiction|novels|philosophy|spirituality
36,"The Giver (The Giver, #1)",children|fiction|for-school|school-books|teen
37,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",children|childrens|fantasy|fiction|young-adult
38,The Time Traveler's Wife,fantasy|fiction|romance|sci-fi|time-travel
39,"A Game of Thrones (A Song of Ice and Fire, #1)",epic-fantasy|fantasy|favourites|fiction|sci-fi-fantasy
40,"Eat, Pray, Love",fiction|memoir|non-fiction|nonfiction|travel
41,"The Lightning Thief (Percy Jackson and the Olympians, #1)",fantasy|fiction|mythology|series|young-adult
42,"Little Women (Little Women, #1)",classic|fiction|historical-fiction|romance|young-adult
43,Jane Eyre,19th-century|clàssics|gothic|historical|literature
44,"The Notebook (The Notebook, #1)",chick-lit|contemporary|fiction|nicholas-sparks|romance
45,Life of Pi,adventure|contemporary|fantasy|literature|novels
46,Water for Elephants,bookclub|fiction|historical-fiction|kindle|romance
47,The Book Thief,favourites|fiction|historical|historical-fiction|young-adult
48,Fahrenheit 451,dystopia|dystopian|fiction|sci-fi|science-fiction
49,"New Moon (Twilight, #2)",fantasy|fiction|romance|vampires|young-adult
50,Where the Sidewalk Ends,children|children-s-books|childrens|fiction|poetry
51,"City of Bones (The Mortal Instruments, #1)",paranormal|romance|series|urban-fantasy|young-adult
52,"Eclipse (Twilight, #3)",fantasy|fiction|romance|vampires|young-adult
53,"Eragon (The Inheritance Cycle, #1)",dragons|fantasy|fiction|series|young-adult
54,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",fantasy|fiction|humor|sci-fi|science-fiction
55,Brave New World,dystopia|dystopian|fiction|sci-fi|science-fiction
56,"Breaking Dawn (Twilight, #4)",contemporary|fantasy|my-library|sci-fi-fantasy|young-adult
57,The Secret Life of Bees,adult-fiction|chick-lit|fiction|historical-fiction|young-adult
58,The Adventures of Huckleberry Finn,classic|fiction|historical-fiction|literature|young-adult
59,Charlotte's Web,childhood|children|children-s-books|childrens|fiction
60,The Curious Incident of the Dog in the Night-Time,audio|book-club-books|fiction|mystery|young-adult
61,The Girl on the Train,crime|fiction|mystery|read-in-2015|thriller
62,"The Golden Compass (His Dark Materials, #1)",childrens|fantasy|fiction|series|young-adult
63,Wuthering Heights,classic|fiction|gothic|literature|romance
64,My Sister's Keeper,chick-lit|contemporary|drama|fiction|jodi-picoult
65,Slaughterhouse-Five,classic|fiction|sci-fi|science-fiction|war
66,Gone with the Wind,classic|fiction|historical|historical-fiction|romance
67,A Thousand Splendid Suns,afghanistan|contemporary|favourites|fiction|historical-fiction
68,The Perks of Being a Wallflower,coming-of-age|contemporary|favourites|fiction|realistic-fiction
69,"Insurgent (Divergent, #2)",dystopia|dystopian|fantasy|fiction|young-adult
70,"Ender's Game (Ender's Saga, #1)",fantasy|fiction|sci-fi|science-fiction|young-adult
71,Frankenstein,fantasy|fiction|gothic|horror|sci-fi
72,The Shining (The Shining #1),fantasy|fiction|king|mystery|supernatural
73,"The Host (The Host, #1)",dystopia|dystopian|fiction|sci-fi|science-fiction
74,Looking for Alaska,contemporary|favourites|fiction|romance|young-adult
75,"Bridget Jones's Diary (Bridget Jones, #1)",chick-lit|contemporary|fiction|humor|romance
76,Sense and Sensibility,classic-literature|fiction|historical-fiction|literature|owned-books
77,"Holes (Holes, #1)",childhood|childrens|fiction|realistic-fiction|young-adult
78,"The Devil Wears Prada (The Devil Wears Prada, #1)",chick-lit|chicklit|contemporary|fiction|romance
79,The Odyssey,classic|fantasy|fiction|mythology|poetry
80,The Little Prince,children|childrens|classic|fantasy|french
81,The Glass Castle,biography|fiction|memoir|non-fiction|nonfiction
82,Into the Wild,adventure|biography|non-fiction|nonfiction|travel
83,A Tale of Two Cities,classic|fiction|historical-fiction|kindle|literature
84,"Jurassic Park (Jurassic Park, #1)",adventure|fiction|sci-fi|science-fiction|thriller
85,The Giving Tree,children|children-s-books|childrens|fiction|picture-books
86,A Time to Kill,crime|fiction|john-grisham|mystery|thriller
87,Night (The Night Trilogy #1),historical|history|non-fiction|nonfiction|school
88,Paper Towns,contemporary|favourites|john-green|owned-books|young-adult
89,The Princess Bride ,all-time-favorites|favourites|kindle|owned-books|sci-fi-fantasy
90,The Outsiders,classic|coming-of-age|fiction|realistic-fiction|school
91,"The Maze Runner (Maze Runner, #1)",dystopia|dystopian|sci-fi|science-fiction|young-adult
92,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",non-fiction|nonfiction|psychology|science|sociology
93,The Secret Garden,children|childrens|classic|fiction|young-adult
94,One Hundred Years of Solitude,classic|favourites|latin-america|literature|novels
95,The Picture of Dorian Gray,classic|fantasy|fiction|horror|literature
96,"Fifty Shades Freed (Fifty Shades, #3)",adult|bdsm|erotica|fiction|series
97,Dracula,classic|fantasy|fiction|horror|vampires
98,"The Girl Who Played with Fire (Millennium, #2)",crime|fiction|mystery|mystery-thriller|suspense
99,"Fifty Shades Darker (Fifty Shades, #2)",billionaire|erótica|favs|guilty-pleasure|romance
100,The Poisonwood Bible,africa|fiction|historical-fiction|literature|novels
101,Me Talk Pretty One Day,essays|humor|memoir|non-fiction|nonfiction
102,Where the Wild Things Are,children|children-s-books|childrens|fiction|picture-books
103,The Count of Monte Cristo,adventure|classic|fiction|french|historical-fiction
104,The Road,dystopia|dystopian|fiction|sci-fi|science-fiction
105,"Allegiant (Divergent, #3)",dystopia|dystopian|fiction|science-fiction|young-adult
106,Bossypants,biography|humor|memoir|non-fiction|nonfiction
107,A Walk to Remember,adult|adult-fiction|drama|love|owned-books
108,"Confessions of a Shopaholic (Shopaholic, #1)",adult-fiction|chic-lit|funny|owned-books|sophie-kinsella
109,Les Misérables,classic|fiction|french|historical-fiction|literature
110,"A Clash of Kings  (A Song of Ice and Fire, #2)",epic-fantasy|fantasy|fiction|sci-fi-fantasy|series
111,The Memory Keeper's Daughter,adult|adult-fiction|contemporary|contemporary-fiction|fiction
112,"Me Before You (Me Before You, #1)",audiobook|ebook|kindle|read-in-2015|romance
113,Catch-22,classic|fiction|historical-fiction|humor|war
114,Tuesdays with Morrie,biography|fiction|memoir|non-fiction|nonfiction
115,Middlesex,contemporary|fiction|historical-fiction|lgbt|pulitzer
116,The Adventures of Tom Sawyer,adventure|classic|fiction|historical-fiction|young-adult
117,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",fantasy|fiction|sci-fi|science-fiction|young-adult
118,The Joy Luck Club,adult-fiction|china|contemporary|fiction|literature
119,The Handmaid's Tale,dystopia|dystopian|fiction|sci-fi|science-fiction
120,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",chick-lit|contemporary|fiction|series|young-adult
121,Lolita,clàssics|fiction|literature|novels|russian-literature
122,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",abandoned|adult|adult-fiction|sci-fi-fantasy|series
123,"The Firm (Penguin Readers, Level 5)",fiction|john-grisham|mystery|suspense|thriller
124,Room,adult|adult-fiction|contemporary|fiction|kindle
125,Hamlet,classic|drama|fiction|plays|shakespeare
126,Dune (Dune Chronicles #1),fantasy|fiction|sci-fi|science-fiction|scifi
127,The Tipping Point: How Little Things Can Make a Big Difference,business|non-fiction|nonfiction|psychology|sociology
128,Steve Jobs,biographies|biography|business|non-fiction|nonfiction
129,One Flew Over the Cuckoo's Nest,classic|fiction|literature|novels|psychology
130,The Old Man and the Sea,american-literature|classic|fiction|literature|novels
131,The Grapes of Wrath,classic|fiction|historical-fiction|literature|school
132,The Five People You Meet in Heaven,christian|contemporary-fiction|fiction|rory-gilmore-reading-challenge|spiritual
133,"Anne of Green Gables (Anne of Green Gables, #1)",childrens|classic|fiction|historical-fiction|young-adult
134,"City of Glass (The Mortal Instruments, #3)",fantasy|paranormal|series|urban-fantasy|young-adult
135,"A Storm of Swords (A Song of Ice and Fire, #3)",epic-fantasy|fantasy|fiction|sci-fi-fantasy|series
136,Divine Secrets of the Ya-Ya Sisterhood,adult-fiction|chick-lit|contemporary|fiction|rory-gilmore-reading-challenge
137,"Outlander (Outlander, #1)",fantasy|fiction|historical-fiction|romance|time-travel
138,The Scarlet Letter,high-school|historical|literature|read-for-school|school
139,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",fantasy|fiction|mystery|paranormal|young-adult
140,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",crime|fiction|mystery|series|thriller
141,The Martian,adventure|audiobook|kindle|read-in-2015|sci-fi
142,"The Pillars of the Earth (The Kingsbridge Series, #1)",fiction|historical|historical-fiction|history|medieval
143,All the Light We Cannot See,fiction|historical|historical-fiction|war|wwii
144,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",biography|history|non-fiction|nonfiction|war
145,Deception Point,dan-brown|fiction|mystery|suspense|thriller
146,The Goldfinch,contemporary|fiction|kindle|literary-fiction|read-in-2014
147,Thirteen Reasons Why,favourites|realistic-fiction|suicide|teen|young-adult
148,Girl with a Pearl Earring,art|fiction|historical|historical-fiction|romance
149,"If I Stay (If I Stay, #1)",contemporary|fiction|romance|series|young-adult
150,The Red Tent,christian|fiction|historical-fiction|history|literature
151,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",fantasy|fiction|mythology|percy-jackson|young-adult
152,Dear John,chick-lit|contemporary|fiction|nicholas-sparks|romance
153,"City of Ashes (The Mortal Instruments, #2)",fantasy|paranormal|romance|urban-fantasy|young-adult
154,Macbeth,classic|fiction|play|plays|school
155,"The Two Towers (The Lord of the Rings, #2)",adventure|classic|fantasy|fiction|tolkien
156,"Something Borrowed (Darcy & Rachel, #1)",chick-lit|contemporary|fiction|romance|series
157,Green Eggs and Ham,children|children-s-books|childrens|fiction|picture-books
158,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",childhood|children|children-s-books|fiction|young-adult
159,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",fantasy|mythology|percy-jackson|rick-riordan|young-adult
160,Great Expectations,classic|fiction|historical-fiction|literature|school
161,"The Return of the King (The Lord of the Rings, #3)",adventure|classic|fantasy|fiction|tolkien
162,The Stranger,classic|fiction|french|literature|philosophy
163,"The Lost Hero (The Heroes of Olympus, #1)",fantasy|middle-grade|mythology|rick-riordan|young-adult
164,Eleanor & Park,contemporary|fiction|realistic-fiction|romance|young-adult
165,"A Feast for Crows (A Song of Ice and Fire, #4)",a-song-of-ice-and-fire|epic-fantasy|fantasy|fiction|series
166,"Matched (Matched, #1)",dystopia|dystopian|romance|series|young-adult
167,"American Gods (American Gods, #1)",fantasy|fiction|mythology|sci-fi-fantasy|urban-fantasy
168,The Stand,fantasy|fiction|horror|post-apocalyptic|science-fiction
169,The Last Song,chick-lit|fiction|nicholas-sparks|romance|young-adult
170,Digital Fortress,dan-brown|fiction|mystery|suspense|thriller
171,Emma,classic|fiction|historical-fiction|jane-austen|romance
172,Anna Karenina,classic|fiction|literature|romance|russian
173,A Clockwork Orange,classic|dystopian|fiction|literature|sci-fi
174,The Shack,christian|christian-fiction|fiction|religion|spiritual
175,"The Last Olympian (Percy Jackson and the Olympians, #5)",fantasy|mythology|percy-jackson|rick-riordan|young-adult
176,It,fantasy|fiction|horror|king|thriller
177,Crime and Punishment,classic|fiction|literature|russian|russian-literature
178,The Bell Jar,contemporary|feminism|fiction|literary-fiction|non-fiction
179,"Angela's Ashes (Frank McCourt, #1)",biography|fiction|memoir|non-fiction|nonfiction
180,Siddhartha,fiction|literature|philosophy|religion|spirituality
181,In Cold Blood,crime|fiction|non-fiction|nonfiction|true-crime
182,"Beautiful Creatures (Caster Chronicles, #1)",fantasy|paranormal|romance|series|young-adult
183,"Clockwork Angel (The Infernal Devices, #1)",fantasy|paranormal|romance|steampunk|young-adult
184,Matilda,childhood-books|childhood-favorites|childrens-books|kids-books|young-adult
185,The Night Circus,fantasy|fiction|historical-fiction|magic|romance
186,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",fiction|historical|historical-fiction|history|romance
187,"Uglies (Uglies, #1)",dystopia|dystopian|sci-fi|science-fiction|young-adult
188,"A Dance with Dragons (A Song of Ice and Fire, #5)",epic-fantasy|fantasy|fiction|kindle|series
189,"The Lord of the Rings (The Lord of the Rings, #1-3)",classic|fantasy|favourites|fiction|tolkien
190,Wild: From Lost to Found on the Pacific Crest Trail,biography|memoir|non-fiction|nonfiction|travel
191,Watchmen,còmics|cómics|fiction|graphic-novel|graphic-novels
192,"The Name of the Wind (The Kingkiller Chronicle, #1)",epic-fantasy|fantasy|favourites|fiction|series
193,Outliers: The Story of Success,economics|non-fiction|nonfiction|psychology|self-improvement
194,"Moby-Dick or, The Whale",adventure|classic|fiction|literature|novels
195,The Guernsey Literary and Potato Peel Pie Society,bookclub|fiction|historical|historical-fiction|romance
196,Fight Club,contemporary|favourites|fiction|novels|thriller
197,"Dead Until Dark (Sookie Stackhouse, #1)",fantasy|paranormal|romance|urban-fantasy|vampires
198,The Color Purple,fiction|historical-fiction|kindle|lgbt|our-shared-shelf
199,Marley and Me: Life and Love With the World's Worst Dog,animals|dogs|memoir|non-fiction|nonfiction
200,And Then There Were None,agatha-christie|crime|fiction|mystery|thriller
201,"The Lost Symbol (Robert Langdon, #3)",dan-brown|fiction|mystery|suspense|thriller
202,"Hush, Hush (Hush, Hush, #1)",angels|fantasy|paranormal|romance|young-adult
203,"Beautiful Disaster (Beautiful, #1)",contemporary|new-adult|romance|romancé|young-adult
204,A Christmas Carol,christmas|classic|fantasy|fiction|literature
205,"Interview with the Vampire (The Vampire Chronicles, #1)",fantasy|fiction|horror|vampire|vampires
206,"The Selection (The Selection, #1)",dystopia|dystopian|fantasy|romance|young-adult
207,"One for the Money (Stephanie Plum, #1)",chick-lit|fiction|humor|mystery|series
208,The Immortal Life of Henrietta Lacks,biography|history|non-fiction|nonfiction|science
209,"The Silence of the Lambs  (Hannibal Lecter, #2)",crime|fiction|horror|mystery|thriller
210,"Vampire Academy (Vampire Academy, #1)",favorite-books|favorite-series|read-in-2013|read-in-2014|teen
211,Blink: The Power of Thinking Without Thinking,business|non-fiction|nonfiction|psychology|science
212,Atonement,favourites|fiction|historical|historical-fiction|romance
213,The Metamorphosis,classic|fantasy|fiction|literature|short-stories
214,"The Titan's Curse (Percy Jackson and the Olympians, #3)",fantasy|fiction|mythology|percy-jackson|young-adult
215,Ready Player One,dystopia|fiction|sci-fi|science-fiction|young-adult
216,The Art of Racing in the Rain,adult-fiction|animals|contemporary|dogs|fiction
217,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",crime|history|non-fiction|nonfiction|true-crime
218,"Bared to You (Crossfire, #1)",adult|contemporary|erotica|romance|series
219,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",childhood|childhood-favorites|children-s-books|christian-fiction|sci-fi-fantasy
220,Twilight: The Complete Illustrated Movie Companion,fantasy|paranormal|twilight|vampires|young-adult
221,"A Child Called ""It"" (Dave Pelzer #1)",autobiography|memoir|non-fiction|nonfiction|psychology
222,"The Bourne Identity (Jason Bourne, #1)",espionage|fiction|mystery|suspense|thriller
223,"Artemis Fowl (Artemis Fowl, #1)",childrens|fantasy|fiction|series|young-adult
224,"Fallen (Fallen, #1)",angels|fantasy|romance|series|young-adult
225,East of Eden,classic|fiction|historical-fiction|literature|novels
226,Dark Places,crime|fiction|mystery|mystery-thriller|thriller
227,The Client,fiction|john-grisham|mystery|suspense|thriller
228,"The Nanny Diaries (Nanny, #1)",chick-lit|chicklit|contemporary|fiction|humor
229,Alice's Adventures in Wonderland & Through the Looking-Glass,children|childrens|classic|fantasy|fiction
230,Persuasion,classic|fiction|historical-fiction|jane-austen|romance
231,Sarah's Key,fiction|historical|historical-fiction|holocaust|wwii
232,"The Gunslinger (The Dark Tower, #1)",fantasy|fiction|horror|sci-fi|science-fiction
233,Love in the Time of Cholera,classic|fiction|historical-fiction|latin-america|novels
234,Speak,contemporary|fiction|realistic-fiction|teen|young-adult
235,The Husband's Secret,adult|adult-fiction|audiobook|audiobooks|mystery
236,Into Thin Air: A Personal Account of the Mount Everest Disaster,adventure|memoir|non-fiction|nonfiction|travel
237,Carrie,fantasy|fiction|horror|king|paranormal
238,Running with Scissors,biography|humor|memoir|non-fiction|nonfiction
239,World War Z: An Oral History of the Zombie War,fiction|horror|sci-fi|science-fiction|zombies
240,"Inferno (Robert Langdon, #4)",dan-brown|fiction|historical-fiction|mystery|thriller
241,Number the Stars,childrens|fiction|historical|historical-fiction|holocaust
242,"Along Came a Spider (Alex Cross, #1)",crime|fiction|james-patterson|mystery|thriller
243,Misery,fiction|horror|king|suspense|thriller
244,Sharp Objects,crime|fiction|mystery|mystery-thriller|thriller
245,Bridge to Terabithia,children|childrens|fantasy|fiction|young-adult
246,"Marked (House of Night, #1)",fantasy|paranormal|vampire|vampires|young-adult
247,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,business|non-fiction|personal-development|self-help|self-improvement
248,A Midsummer Night's Dream,classic|drama|fiction|plays|shakespeare
249,Extremely Loud and Incredibly Close,contemporary|contemporary-fiction|favourites|fiction|historical-fiction
250,Wonder,contemporary|fiction|middle-grade|realistic-fiction|young-adult
251,The Cat in the Hat,children|children-s-books|fiction|kids|picture-books
252,"Cinder (The Lunar Chronicles, #1)",dystopian|fantasy|sci-fi|science-fiction|young-adult
253,"The Cuckoo's Calling (Cormoran Strike, #1)",audiobook|crime|fiction|mystery|thriller
254,"Shiver (The Wolves of Mercy Falls, #1)",fiction|romance|supernatural|teen|urban-fantasy
255,Atlas Shrugged,classic|fiction|literature|philosophy|politics
256,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,biography|memoir|non-fiction|nonfiction|travel
257,Alice in Wonderland,children|childrens|classic|fantasy|fiction
258,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)",books-about-books|fantasy|fiction|historical-fiction|mystery
259,"The Scorch Trials (Maze Runner, #2)",dystopia|dystopian|sci-fi|science-fiction|young-adult
260,How to Win Friends and Influence People,leadership|non-fiction|nonfiction|personal-development|self-improvement
261,Under the Tuscan Sun,fiction|memoir|non-fiction|nonfiction|travel
262,Big Little Lies,adult|chick-lit|contemporary|kindle|mystery
263,Ella Enchanted,fairy-tales|fantasy|fiction|romance|young-adult
264,The Sun Also Rises,american|classic|fiction|literature|novels
265,A Tree Grows in Brooklyn,classic|coming-of-age|fiction|historical-fiction|young-adult
266,"Kiss the Girls (Alex Cross, #2)",crime|fiction|james-patterson|mystery|thriller
267,The Nightingale,fiction|historical|historical-fiction|war|wwii
268,Never Let Me Go,dystopia|dystopian|fiction|sci-fi|science-fiction
269,P.S. I Love You,chick-lit|chicklit|contemporary|fiction|romance
270,Rebecca,classic|fiction|gothic|mystery|romance
271,Flowers for Algernon,classic|fiction|sci-fi|science-fiction|young-adult
272,Like Water for Chocolate,fantasy|fiction|historical-fiction|magical-realism|romance
273,Snow Flower and the Secret Fan,asia|china|fiction|historical|historical-fiction
274,The Godfather,crime|fiction|historical-fiction|mafia|thriller
275,An Abundance of Katherines,contemporary|fiction|john-green|romance|young-adult
276,Foundation (Foundation #1),fiction|sci-fi|science-fiction|scifi|sf
277,The Ocean at the End of the Lane,audiobook|fantasy|fiction|horror|magical-realism
278,A Light in the Attic,childhood|children|children-s-books|childrens|poetry
279,"Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)",fantasy|fiction|plays|read-in-2016|young-adult
280,"Delirium (Delirium, #1)",fantasy|favourites|fiction|romance|series
281,The Pelican Brief,crime|john-grisham|legal-thriller|mystery|suspense
282,Coraline,childrens|fantasy|fiction|horror|young-adult
283,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",fantasy|fiction|humor|humour|urban-fantasy
284,On the Road,classic|fiction|literature|novels|travel
285,"The Rosie Project (Don Tillman, #1)",chick-lit|contemporary|fiction|humor|kindle
286,The Lucky One,adult|chick-lit|contemporary|fiction|romance
287,The Fountainhead,classic|fiction|literature|novels|philosophy
288,"The Hunt for Red October (Jack Ryan Universe, #4)",fiction|military|suspense|thriller|tom-clancy
289,"Watership Down (Watership Down, #1)",animals|classic|fantasy|fiction|young-adult
290,Is Everyone Hanging Out Without Me? (And Other Concerns),biography|humor|memoir|non-fiction|nonfiction
291,Cutting for Stone,africa|bookclub|ethiopia|fiction|historical-fiction
292,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",adventure|children|childrens|series|young-adult
293,Treasure Island,adventure|classic|fiction|historical-fiction|young-adult
294,"The Son of Neptune (The Heroes of Olympus, #2)",fantasy|mythology|rick-riordan|series|young-adult
295,11/22/1963,fiction|historical-fiction|sci-fi|science-fiction|time-travel
296,The Very Hungry Caterpillar Board Book,children|children-s-books|childrens|kids|picture-books
297,Cat's Cradle,fiction|humor|literature|sci-fi|science-fiction
298,The Time Machine,classic|fiction|sci-fi|science-fiction|time-travel
299,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,christian-books|christianity|faith|heaven|kindle
300,The Boy in the Striped Pajamas,fiction|historical|historical-fiction|holocaust|young-adult
301,Heart of Darkness,africa|classic|fiction|literature|school
302,Safe Haven,chick-lit|contemporary|fiction|nicholas-sparks|romance
303,"The Secret (The Secret, #1)",non-fiction|nonfiction|self-help|spiritual|spirituality
304,I Know This Much Is True,contemporary-fiction|fiction|kindle|oprah|oprah-s-book-club
305,Pet Sematary,fantasy|fiction|horror|king|thriller
306,She's Come Undone,adult-fiction|chick-lit|contemporary|contemporary-fiction|fiction
307,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",epic-fantasy|fantasy|favourites|fiction|series
308,Can You Keep a Secret?,chick-lit|chicklit|contemporary|fiction|romance
309,"City of Fallen Angels (The Mortal Instruments, #4)",fantasy|paranormal|romance|series|young-adult
310,"Good in Bed (Cannie Shapiro, #1)",chick-lit|chicklit|contemporary|fiction|romance
311,The Thorn Birds,adult|favourites|fiction|historical-fiction|historical-romance
312,The Graveyard Book,fantasy|fiction|horror|paranormal|young-adult
313,The Light Between Oceans,australia|bookclub|fiction|historical|historical-fiction
314,"Inkheart (Inkworld, #1)",childrens|fantasy|fiction|series|young-adult
315,Who Moved My Cheese?,business|non-fiction|nonfiction|psychology|self-help
316,A Walk in the Woods,humor|memoir|non-fiction|nonfiction|travel
317,I Know Why the Caged Bird Sings,biography|fiction|memoir|non-fiction|nonfiction
318,Orphan Train,bookclub|fiction|historical|historical-fiction|kindle
319,"City of Lost Souls (The Mortal Instruments, #5)",fantasy|paranormal|romance|series|urban-fantasy
320,"Where'd You Go, Bernadette",chick-lit|contemporary|fiction|humor|mystery
321,Where the Red Fern Grows,children|childrens|classic|fiction|young-adult
322,Neverwhere,fantasy|fiction|neil-gaiman|sci-fi-fantasy|urban-fantasy
323,The Unbearable Lightness of Being,czech|fiction|literature|novels|philosophy
324,Fangirl,contemporary|favourites|fiction|romance|young-adult
325,A Prayer for Owen Meany,contemporary|contemporary-fiction|fiction|literature|novels
326,White Oleander,chick-lit|coming-of-age|contemporary|contemporary-fiction|fiction
327,"Legend (Legend, #1)",fantasy|favourites|fiction|romance|sci-fi
328,Nineteen Minutes,adult|adult-fiction|chick-lit|contemporary|fiction
329,The Last Lecture,biography|inspirational|non-fiction|nonfiction|philosophy
330,"The Eye of the World (Wheel of Time, #1)",epic-fantasy|fantasy|fiction|series|wheel-of-time
331,The Pact,chick-lit|contemporary|fiction|jodi-picoult|romance
332,"The Magician's Nephew (Chronicles of Narnia, #6)",children-s-books|childrens|christian|classic|magic
333,Still Alice,bookclub|contemporary|fiction|psychology|read-in-2015
334,"Reflected in You (Crossfire, #2)",contemporary|erotica|romance|series|sylvia-day
335,James and the Giant Peach,childhood|children|childrens|fantasy|fiction
336,"1st to Die (Women's Murder Club, #1)",crime|fiction|james-patterson|mystery|thriller
337,The Ultimate Hitchhiker's Guide to the Galaxy,fantasy|fiction|humor|sci-fi|science-fiction
338,One Day,chick-lit|contemporary|favourites|fiction|romance
339,Goodnight Moon,childhood|children|children-s-books|childrens|kids
340,"I Am Number Four (Lorien Legacies, #1)",fantasy|sci-fi|science-fiction|series|young-adult
341,The Iliad,classic|fiction|literature|mythology|poetry
342,The Casual Vacancy,audio|audiobooks|fiction|gave-up-on|read-in-2012
343,The Runaway Jury,fiction|grisham|john-grisham|mystery|thriller
344,Naked,essays|humor|memoir|non-fiction|nonfiction
345,"Eldest (The Inheritance Cycle, #2)",christopher-paolini|dragons|fantasy|owned-books|young-adult
346,"The Wonderful Wizard of Oz (Oz, #1)",children-s-books|childrens|classic|fiction|young-adult
347,"Prince Caspian (Chronicles of Narnia, #2)",adventure|c-s-lewis|childhood|childrens|narnia
348,We Were Liars,fiction|mystery|read-in-2014|read-in-2015|romance
349,'Salem's Lot,horror|king|paranormal|thriller|vampires
350,Fear and Loathing in Las Vegas,fiction|humor|journalism|non-fiction|nonfiction
351,"Clockwork Prince (The Infernal Devices, #2)",fantasy|paranormal|romance|steampunk|young-adult
